name,symbol,exchange,currency,price
유나이티드,033270.KS,KOSPI,KRW,-
디아이씨,092200.KS,KOSPI,KRW,-
CJ제일제당,097950.KS,KOSPI,KRW,-
팬오션,028670.KS,KOSPI,KRW,-
HJ중공업,097230.KS,KOSPI,KRW,-
JW홀딩스,096760.KS,KOSPI,KRW,-
SK이노베이션,096770.KS,KOSPI,KRW,-
삼성카드,029780.KS,KOSPI,KRW,-
알루코,001780.KS,KOSPI,KRW,-
웅진씽크빅,095720.KS,KOSPI,KRW,-
맵스리얼티,094800.KS,KOSPI,KRW,-
메타랩스,090370.KS,KOSPI,KRW,-
후성,093370.KS,KOSPI,KRW,-
LF,093050.KS,KOSPI,KRW,-
주연테크,044380.KS,KOSPI,KRW,-
코스맥스비티아이,044820.KS,KOSPI,KRW,-
인천도시가스,034590.KS,KOSPI,KRW,-
삼정펄프,009770.KS,KOSPI,KRW,-
KEC,092220.KS,KOSPI,KRW,-
KPX홀딩스,092230.KS,KOSPI,KRW,-
HDC현대EP,089470.KS,KOSPI,KRW,-
노루페인트,090350.KS,KOSPI,KRW,-
아모레퍼시픽,090430.KS,KOSPI,KRW,-
롯데관광개발,032350.KS,KOSPI,KRW,-
평화산업,090080.KS,KOSPI,KRW,-
우진플라임,049800.KS,KOSPI,KRW,-
신세계I&C,035510.KS,KOSPI,KRW,-
진도,088790.KS,KOSPI,KRW,-
맥쿼리인프라,088980.KS,KOSPI,KRW,-
롯데쇼핑,023530.KS,KOSPI,KRW,-
현대글로비스,086280.KS,KOSPI,KRW,-
티비에이치글로벌,084870.KS,KOSPI,KRW,-
하나금융지주,086790.KS,KOSPI,KRW,-
제일연마,001560.KS,KOSPI,KRW,-
현대리바트,079430.KS,KOSPI,KRW,-
대한제강,084010.KS,KOSPI,KRW,-
새론오토모티브,075180.KS,KOSPI,KRW,-
그린케미칼,083420.KS,KOSPI,KRW,-
대상홀딩스,084690.KS,KOSPI,KRW,-
코아스,071950.KS,KOSPI,KRW,-
이월드,084680.KS,KOSPI,KRW,-
동양고속,084670.KS,KOSPI,KRW,-
한미반도체,042700.KS,KOSPI,KRW,-
동일산업,004890.KS,KOSPI,KRW,-
삼호개발,010960.KS,KOSPI,KRW,-
금호타이어,073240.KS,KOSPI,KRW,-
CJ CGV,079160.KS,KOSPI,KRW,-
일진다이아,081000.KS,KOSPI,KRW,-
유니드,014830.KS,KOSPI,KRW,-
상신브레이크,041650.KS,KOSPI,KRW,-
인팩,023810.KS,KOSPI,KRW,-
GS,078930.KS,KOSPI,KRW,-
유니퀘스트,077500.KS,KOSPI,KRW,-
다스코,058730.KS,KOSPI,KRW,-
LG디스플레이,034220.KS,KOSPI,KRW,-
텔코웨어,078000.KS,KOSPI,KRW,-
STX엔진,077970.KS,KOSPI,KRW,-
NICE,034310.KS,KOSPI,KRW,-
대교,019680.KS,KOSPI,KRW,-
기업은행,024110.KS,KOSPI,KRW,-
이엔플러스,074610.KS,KOSPI,KRW,-
한솔홈데코,025750.KS,KOSPI,KRW,-
이수페타시스,007660.KS,KOSPI,KRW,-
강원랜드,035250.KS,KOSPI,KRW,-
YG PLUS,037270.KS,KOSPI,KRW,-
농심홀딩스,072710.KS,KOSPI,KRW,-
한국금융지주,071050.KS,KOSPI,KRW,-
유엔젤,072130.KS,KOSPI,KRW,-
SBS,034120.KS,KOSPI,KRW,-
엔씨소프트,036570.KS,KOSPI,KRW,-
하이스틸,071090.KS,KOSPI,KRW,-
DSR제강,069730.KS,KOSPI,KRW,-
태경케미컬,006890.KS,KOSPI,KRW,-
한농화성,011500.KS,KOSPI,KRW,-
현대백화점,069960.KS,KOSPI,KRW,-
대호에이엘,069460.KS,KOSPI,KRW,-
대웅제약,069620.KS,KOSPI,KRW,-
마니커,027740.KS,KOSPI,KRW,-
SNT홀딩스,036530.KS,KOSPI,KRW,-
티케이지휴켐스,069260.KS,KOSPI,KRW,-
SJG세종,033530.KS,KOSPI,KRW,-
포스코스틸리온,058430.KS,KOSPI,KRW,-
삼성출판사,068290.KS,KOSPI,KRW,-
세이브존I&C,067830.KS,KOSPI,KRW,-
교보증권,030610.KS,KOSPI,KRW,-
한샘,009240.KS,KOSPI,KRW,-
우신시스템,017370.KS,KOSPI,KRW,-
LG전자,066570.KS,KOSPI,KRW,-
콜마홀딩스,024720.KS,KOSPI,KRW,-
SNT모티브,064960.KS,KOSPI,KRW,-
광주신세계,037710.KS,KOSPI,KRW,-
일진디스플,020760.KS,KOSPI,KRW,-
종근당바이오,063160.KS,KOSPI,KRW,-
신한지주,055550.KS,KOSPI,KRW,-
코웨이,021240.KS,KOSPI,KRW,-
세아홀딩스,058650.KS,KOSPI,KRW,-
LG생활건강,051900.KS,KOSPI,KRW,-
LG화학,051910.KS,KOSPI,KRW,-
대우건설,047040.KS,KOSPI,KRW,-
포스코인터내셔널,047050.KS,KOSPI,KRW,-
한화오션,042660.KS,KOSPI,KRW,-
진양화학,051630.KS,KOSPI,KRW,-
두산에너빌리티,034020.KS,KOSPI,KRW,-
한국내화,010040.KS,KOSPI,KRW,-
한세예스24홀딩스,016450.KS,KOSPI,KRW,-
대성홀딩스,016710.KS,KOSPI,KRW,-
대원제약,003220.KS,KOSPI,KRW,-
한국가스공사,036460.KS,KOSPI,KRW,-
미래아이앤지,007120.KS,KOSPI,KRW,-
화천기공,000850.KS,KOSPI,KRW,-
팜스코,036580.KS,KOSPI,KRW,-
케이티앤지,033780.KS,KOSPI,KRW,-
HD한국조선해양,009540.KS,KOSPI,KRW,-
디씨엠,024090.KS,KOSPI,KRW,-
AK홀딩스,006840.KS,KOSPI,KRW,-
HS애드,035000.KS,KOSPI,KRW,-
대한유화,006650.KS,KOSPI,KRW,-
백산,035150.KS,KOSPI,KRW,-
체시스,033250.KS,KOSPI,KRW,-
자화전자,033240.KS,KOSPI,KRW,-
케이티,030200.KS,KOSPI,KRW,-
엑시큐어하이트론,019490.KS,KOSPI,KRW,-
제일기획,030000.KS,KOSPI,KRW,-
스틱인베스트먼트,026890.KS,KOSPI,KRW,-
케이씨,029460.KS,KOSPI,KRW,-
대원화성,024890.KS,KOSPI,KRW,-
E1,017940.KS,KOSPI,KRW,-
SK가스,018670.KS,KOSPI,KRW,-
다우기술,023590.KS,KOSPI,KRW,-
영보화학,014440.KS,KOSPI,KRW,-
SKC,011790.KS,KOSPI,KRW,-
한국주강,025890.KS,KOSPI,KRW,-
디와이덕양,024900.KS,KOSPI,KRW,-
에쓰씨엔지니어링,023960.KS,KOSPI,KRW,-
인지컨트롤스,023800.KS,KOSPI,KRW,-
경동인베스트,012320.KS,KOSPI,KRW,-
아이티센씨티에스,031820.KS,KOSPI,KRW,-
에스제이엠홀딩스,025530.KS,KOSPI,KRW,-
SK하이닉스,000660.KS,KOSPI,KRW,-
INVENI,015360.KS,KOSPI,KRW,-
MH에탄올,023150.KS,KOSPI,KRW,-
동남합성,023450.KS,KOSPI,KRW,-
삼성E&A,028050.KS,KOSPI,KRW,-
신도리코,029530.KS,KOSPI,KRW,-
온타이드,005320.KS,KOSPI,KRW,-
퍼시스,016800.KS,KOSPI,KRW,-
WISCOM,024070.KS,KOSPI,KRW,-
동원수산,030720.KS,KOSPI,KRW,-
미래산업,025560.KS,KOSPI,KRW,-
다올투자증권,030210.KS,KOSPI,KRW,-
HDC,012630.KS,KOSPI,KRW,-
광전자,017900.KS,KOSPI,KRW,-
한국단자공업,025540.KS,KOSPI,KRW,-
디아이,003160.KS,KOSPI,KRW,-
신성이엔지,011930.KS,KOSPI,KRW,-
티에이치엔,019180.KS,KOSPI,KRW,-
한온시스템,018880.KS,KOSPI,KRW,-
블루산업개발,006740.KS,KOSPI,KRW,-
세원정공,021820.KS,KOSPI,KRW,-
유니온,000910.KS,KOSPI,KRW,-
키다리스튜디오,020120.KS,KOSPI,KRW,-
한국제지,027970.KS,KOSPI,KRW,-
한섬,020000.KS,KOSPI,KRW,-
현대엘리베이터,017800.KS,KOSPI,KRW,-
환인제약,016580.KS,KOSPI,KRW,-
계룡건설산업,013580.KS,KOSPI,KRW,-
서원,021050.KS,KOSPI,KRW,-
에스원,012750.KS,KOSPI,KRW,-
태경산업,015890.KS,KOSPI,KRW,-
신대양제지,016590.KS,KOSPI,KRW,-
와이투솔루션,011690.KS,KOSPI,KRW,-
남해화학,025860.KS,KOSPI,KRW,-
동원금속,018500.KS,KOSPI,KRW,-
성안머티리얼스,011300.KS,KOSPI,KRW,-
HMM,011200.KS,KOSPI,KRW,-
경인양행,012610.KS,KOSPI,KRW,-
풀무원,017810.KS,KOSPI,KRW,-
서울도시가스,017390.KS,KOSPI,KRW,-
이구산업,025820.KS,KOSPI,KRW,-
에넥스,011090.KS,KOSPI,KRW,-
에이프로젠,007460.KS,KOSPI,KRW,-
차AI헬스케어,025620.KS,KOSPI,KRW,-
한국카본,017960.KS,KOSPI,KRW,-
KPX케미칼,025000.KS,KOSPI,KRW,-
TP,007980.KS,KOSPI,KRW,-
에스엠벡셀,010580.KS,KOSPI,KRW,-
KC그린홀딩스,009440.KS,KOSPI,KRW,-
문배철강,008420.KS,KOSPI,KRW,-
웅진,016880.KS,KOSPI,KRW,-
HL D&I,014790.KS,KOSPI,KRW,-
오뚜기,007310.KS,KOSPI,KRW,-
일정실업,008500.KS,KOSPI,KRW,-
엘에스일렉트릭,010120.KS,KOSPI,KRW,-
대양금속,009190.KS,KOSPI,KRW,-
이화산업,000760.KS,KOSPI,KRW,-
동원시스템즈,014820.KS,KOSPI,KRW,-
삼성중공업,010140.KS,KOSPI,KRW,-
모토닉,009680.KS,KOSPI,KRW,-
화신,010690.KS,KOSPI,KRW,-
삼화페인트공업,000390.KS,KOSPI,KRW,-
경동나비엔,009450.KS,KOSPI,KRW,-
DB,012030.KS,KOSPI,KRW,-
SGC에너지,005090.KS,KOSPI,KRW,-
대림바스,005750.KS,KOSPI,KRW,-
대한해운,005880.KS,KOSPI,KRW,-
휴니드테크놀러지스,005870.KS,KOSPI,KRW,-
수산세보틱스,017550.KS,KOSPI,KRW,-
롯데케미칼,011170.KS,KOSPI,KRW,-
세아베스틸지주,001430.KS,KOSPI,KRW,-
호텔신라,008770.KS,KOSPI,KRW,-
태경비케이,014580.KS,KOSPI,KRW,-
화승코퍼레이션,013520.KS,KOSPI,KRW,-
신흥,004080.KS,KOSPI,KRW,-
화승인더스트리,006060.KS,KOSPI,KRW,-
극동유화,014530.KS,KOSPI,KRW,-
고려산업,002140.KS,KOSPI,KRW,-
대현,016090.KS,KOSPI,KRW,-
케이비아이동국실업,001620.KS,KOSPI,KRW,-
광명전기,017040.KS,KOSPI,KRW,-
부산산업,011390.KS,KOSPI,KRW,-
STX,011810.KS,KOSPI,KRW,-
고려아연,010130.KS,KOSPI,KRW,-
팜젠사이언스,004720.KS,KOSPI,KRW,-
무림페이퍼,009200.KS,KOSPI,KRW,-
현대차증권,001500.KS,KOSPI,KRW,-
금비,008870.KS,KOSPI,KRW,-
원림,005820.KS,KOSPI,KRW,-
서흥,008490.KS,KOSPI,KRW,-
성문전자,014910.KS,KOSPI,KRW,-
HLB글로벌,003580.KS,KOSPI,KRW,-
일진홀딩스,015860.KS,KOSPI,KRW,-
대영포장,014160.KS,KOSPI,KRW,-
영화금속,012280.KS,KOSPI,KRW,-
신풍제약,019170.KS,KOSPI,KRW,-
동성제약,002210.KS,KOSPI,KRW,-
아센디오,012170.KS,KOSPI,KRW,-
한올바이오파마,009420.KS,KOSPI,KRW,-
유니켐,011330.KS,KOSPI,KRW,-
대창,012800.KS,KOSPI,KRW,-
일성건설,013360.KS,KOSPI,KRW,-
까뮤이앤씨,013700.KS,KOSPI,KRW,-
보락,002760.KS,KOSPI,KRW,-
선도전기,007610.KS,KOSPI,KRW,-
씨아이테크,004920.KS,KOSPI,KRW,-
광동제약,009290.KS,KOSPI,KRW,-
갤럭시아에스엠,011420.KS,KOSPI,KRW,-
남성,004270.KS,KOSPI,KRW,-
KISCO홀딩스,001940.KS,KOSPI,KRW,-
태영건설,009410.KS,KOSPI,KRW,-
한국특강,007280.KS,KOSPI,KRW,-
한솔로지스틱스,009180.KS,KOSPI,KRW,-
삼양통상,002170.KS,KOSPI,KRW,-
SK텔레콤,017670.KS,KOSPI,KRW,-
진양폴리우레탄,010640.KS,KOSPI,KRW,-
미창석유공업,003650.KS,KOSPI,KRW,-
삼익THK,004380.KS,KOSPI,KRW,-
미원상사,002840.KS,KOSPI,KRW,-
서연,007860.KS,KOSPI,KRW,-
세우글로벌,013000.KS,KOSPI,KRW,-
현대모비스,012330.KS,KOSPI,KRW,-
KG케미칼,001390.KS,KOSPI,KRW,-
아진전자부품,009320.KS,KOSPI,KRW,-
현대해상,001450.KS,KOSPI,KRW,-
현대지에프홀딩스,005440.KS,KOSPI,KRW,-
한국전력공사,015760.KS,KOSPI,KRW,-
국도화학,007690.KS,KOSPI,KRW,-
녹십자,006280.KS,KOSPI,KRW,-
SIMPAC,009160.KS,KOSPI,KRW,-
